Component colors/Alpha/alpha-black-10	rgba(0, 0, 0, 0.10000000149011612)	rgba(255, 255, 255, 0.10000000149011612)
Component colors/Alpha/alpha-black-100	#000000	#ffffff
Component colors/Alpha/alpha-black-20	rgba(0, 0, 0, 0.20000000298023224)	rgba(255, 255, 255, 0.20000000298023224)
Component colors/Alpha/alpha-black-30	rgba(0, 0, 0, 0.30000001192092896)	rgba(255, 255, 255, 0.30000001192092896)
Component colors/Alpha/alpha-black-40	rgba(0, 0, 0, 0.4000000059604645)	rgba(255, 255, 255, 0.4000000059604645)
Component colors/Alpha/alpha-black-50	rgba(0, 0, 0, 0.5)	rgba(255, 255, 255, 0.5)
Component colors/Alpha/alpha-black-60	rgba(0, 0, 0, 0.6000000238418579)	rgba(255, 255, 255, 0.6000000238418579)
Component colors/Alpha/alpha-black-70	rgba(0, 0, 0, 0.699999988079071)	rgba(255, 255, 255, 0.699999988079071)
Component colors/Alpha/alpha-black-80	rgba(0, 0, 0, 0.800000011920929)	rgba(255, 255, 255, 0.800000011920929)
Component colors/Alpha/alpha-black-90	rgba(0, 0, 0, 0.8999999761581421)	rgba(255, 255, 255, 0.8999999761581421)
Component colors/Alpha/alpha-white-10	rgba(255, 255, 255, 0.10000000149011612)	rgba(12, 17, 29, 0.10000000149011612)
Component colors/Alpha/alpha-white-100	#ffffff	#0c111d
Component colors/Alpha/alpha-white-20	rgba(255, 255, 255, 0.20000000298023224)	rgba(12, 17, 29, 0.20000000298023224)
Component colors/Alpha/alpha-white-30	rgba(255, 255, 255, 0.30000001192092896)	rgba(12, 17, 29, 0.30000001192092896)
Component colors/Alpha/alpha-white-40	rgba(255, 255, 255, 0.4000000059604645)	rgba(12, 17, 29, 0.4000000059604645)
Component colors/Alpha/alpha-white-50	rgba(255, 255, 255, 0.5)	rgba(12, 17, 29, 0.5)
Component colors/Alpha/alpha-white-60	rgba(255, 255, 255, 0.6000000238418579)	rgba(12, 17, 29, 0.6000000238418579)
Component colors/Alpha/alpha-white-70	rgba(255, 255, 255, 0.699999988079071)	rgba(12, 17, 29, 0.699999988079071)
Component colors/Alpha/alpha-white-80	rgba(255, 255, 255, 0.800000011920929)	rgba(12, 17, 29, 0.800000011920929)
Component colors/Alpha/alpha-white-90	rgba(255, 255, 255, 0.8999999761581421)	rgba(12, 17, 29, 0.8999999761581421)
Component colors/Components/App store badges/app-store-badge-border	#a6a6a6	#ffffff
Component colors/Components/Application navigation/nav-item-button-icon-fg	#667085	#94969c
Component colors/Components/Application navigation/nav-item-button-icon-fg_active	#344054	#ececed
Component colors/Components/Application navigation/nav-item-icon-fg	#667085	#94969c
Component colors/Components/Application navigation/nav-item-icon-fg_active	#667085	#ececed
Component colors/Components/Avatars/avatar-bg	#f2f4f7	#1f242f
Component colors/Components/Avatars/avatar-contrast-border	rgba(0, 0, 0, 0.07999999821186066)	rgba(255, 255, 255, 0.11999999731779099)
Component colors/Components/Avatars/avatar-focus-border	rgba(152, 162, 179, 0.14000000059604645)	rgba(152, 162, 179, 0.14000000059604645)
Component colors/Components/Avatars/avatar-profile-photo-border	#ffffff	#0c111d
Component colors/Components/Breadcrumbs/breadcrumb-bg_hover	#f9fafb	#1f242f
Component colors/Components/Breadcrumbs/breadcrumb-brand-bg_hover	#f9f5ff	#1f242f
Component colors/Components/Breadcrumbs/breadcrumb-brand-fg_hover	#6941c6	#ffffff
Component colors/Components/Breadcrumbs/breadcrumb-brand-icon-fg_hover	#6941c6	#ffffff
Component colors/Components/Breadcrumbs/breadcrumb-fg	#475467	#cecfd2
Component colors/Components/Breadcrumbs/breadcrumb-fg_hover	#344054	#ffffff
